meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.15702051 ,0.07194293 ,0.16816015 ,0.10142993 ,0.21673975 ,0.11530982 ,0.97944228 ,3.97422263 ,0.96524914 ,0.73369288 ,0.09635844 ,0.15702051 ,0.08889398 ,0.02206897 ,0.11764706 ,0.46022727 ,0.00781250 ,2.81250000 ,2.80468750 ,0.20000000 ,male
0.13855052 ,0.07705399 ,0.12752660 ,0.08731383 ,0.20273936 ,0.11542553 ,1.62676987 ,6.29136508 ,0.96600378 ,0.75204201 ,0.01210106 ,0.13855052 ,0.10419932 ,0.01913876 ,0.26229508 ,0.24609375 ,0.00781250 ,2.71875000 ,2.71093750 ,0.13235137 ,male
0.13734274 ,0.08087671 ,0.12426251 ,0.08314490 ,0.20922677 ,0.12608187 ,1.37872820 ,5.00895163 ,0.96351353 ,0.73614996 ,0.10843405 ,0.13734274 ,0.09264402 ,0.01678909 ,0.21333333 ,0.48167067 ,0.01562500 ,5.01562500 ,5.00000000 ,0.08850000 ,male
0.18122546 ,0.06004206 ,0.19095321 ,0.12883882 ,0.22953206 ,0.10069324 ,1.36943046 ,5.47559979 ,0.93744576 ,0.53708000 ,0.21982669 ,0.18122546 ,0.13150372 ,0.02500000 ,0.27586207 ,1.27711397 ,0.00781250 ,2.80468750 ,2.79687500 ,0.41655028 ,male
0.18311528 ,0.06698235 ,0.19123253 ,0.12914867 ,0.24015248 ,0.11100381 ,3.56810402 ,35.38474845 ,0.94033262 ,0.57139420 ,0.04998729 ,0.18311528 ,0.10279870 ,0.02083333 ,0.27586207 ,1.24573864 ,0.20312500 ,6.74218750 ,6.53906250 ,0.13933177 ,male
0.17427211 ,0.06941105 ,0.19087411 ,0.11560198 ,0.22827927 ,0.11267730 ,4.48503835 ,61.76490831 ,0.95097203 ,0.63519918 ,0.05002749 ,0.17427211 ,0.10204599 ,0.01832761 ,0.24615385 ,1.62129934 ,0.00781250 ,7.00000000 ,6.99218750 ,0.20931099 ,male
0.19084630 ,0.06579028 ,0.20795099 ,0.13228046 ,0.24435671 ,0.11207624 ,1.56230368 ,7.83434989 ,0.93854601 ,0.53880958 ,0.05012934 ,0.19084630 ,0.11332280 ,0.01754386 ,0.27586207 ,1.43411458 ,0.00781250 ,6.32031250 ,6.31250000 ,0.25477979 ,male
0.17124697 ,0.07487157 ,0.15280665 ,0.12239085 ,0.24361746 ,0.12122661 ,3.20716983 ,25.76556494 ,0.93695354 ,0.58641951 ,0.05995842 ,0.17124697 ,0.07971831 ,0.01567091 ,0.26229508 ,0.10627948 ,0.00781250 ,0.57031250 ,0.56250000 ,0.13835470 ,male
0.16834595 ,0.07412082 ,0.14561847 ,0.11575591 ,0.23982408 ,0.12406817 ,2.70433473 ,18.48470260 ,0.93452338 ,0.55974232 ,0.06003299 ,0.16834595 ,0.08348402 ,0.01571709 ,0.23188406 ,0.14656250 ,0.00781250 ,3.12500000 ,3.11718750 ,0.05953660 ,male
0.17363138 ,0.07335151 ,0.15356856 ,0.12368021 ,0.24423403 ,0.12055382 ,2.80497489 ,20.85754316 ,0.93091689 ,0.51826856 ,0.06002680 ,0.17363138 ,0.09012954 ,0.01570167 ,0.21052632 ,0.19304436 ,0.00781250 ,2.82031250 ,2.81250000 ,0.06812386 ,male
0.17275429 ,0.07690258 ,0.17773629 ,0.12007001 ,0.24536756 ,0.12529755 ,2.96776509 ,20.07811470 ,0.92553933 ,0.52308112 ,0.05995333 ,0.17275429 ,0.09357351 ,0.01576355 ,0.20000000 ,0.23587740 ,0.00781250 ,0.71875000 ,0.71093750 ,0.23506928 ,male
0.18101539 ,0.07436930 ,0.16929881 ,0.12867314 ,0.25417476 ,0.12550162 ,2.58732453 ,12.28143192 ,0.91528412 ,0.47531747 ,0.05995685 ,0.18101539 ,0.09864341 ,0.01614531 ,0.27586207 ,0.20984375 ,0.00781250 ,3.69531250 ,3.68750000 ,0.05993997 ,male
0.16353585 ,0.07244890 ,0.14554252 ,0.11392962 ,0.22744868 ,0.11351906 ,3.58764999 ,28.65378051 ,0.92701468 ,0.54242240 ,0.05994135 ,0.16353585 ,0.06254164 ,0.01568628 ,0.19753086 ,0.05962171 ,0.00781250 ,0.44531250 ,0.43750000 ,0.09169884 ,male
0.17021280 ,0.07510495 ,0.14605300 ,0.12398884 ,0.25012552 ,0.12613668 ,2.81679292 ,13.76458220 ,0.91383225 ,0.48796572 ,0.05994421 ,0.17021280 ,0.07769842 ,0.01570167 ,0.19277108 ,0.10156250 ,0.00781250 ,0.56250000 ,0.55468750 ,0.16179126 ,male
0.16042248 ,0.07661476 ,0.14482381 ,0.12092404 ,0.23724354 ,0.11631950 ,6.25320825 ,85.49192569 ,0.93302965 ,0.56742361 ,0.06007831 ,0.16042248 ,0.09894415 ,0.01609658 ,0.27586207 ,0.20675616 ,0.00781250 ,3.95312500 ,3.94531250 ,0.07388968 ,male
0.16469984 ,0.07536177 ,0.14701847 ,0.11869833 ,0.24047493 ,0.12177661 ,4.20860841 ,43.68188543 ,0.94066879 ,0.60402049 ,0.05996482 ,0.16469984 ,0.08296261 ,0.01564027 ,0.25396825 ,0.14335318 ,0.00781250 ,1.06250000 ,1.05468750 ,0.12592593 ,male
0.16957880 ,0.07563451 ,0.18646758 ,0.11670649 ,0.23854949 ,0.12184300 ,4.26992268 ,45.89524782 ,0.92949804 ,0.54370854 ,0.05996587 ,0.16957880 ,0.08245132 ,0.01621074 ,0.27118644 ,0.14843750 ,0.00781250 ,3.60937500 ,3.60156250 ,0.05084056 ,male
0.16902100 ,0.07177815 ,0.14316848 ,0.12580050 ,0.24831517 ,0.12251467 ,3.07927340 ,14.34029884 ,0.90227526 ,0.47774572 ,0.12814753 ,0.16902100 ,0.13059833 ,0.01584158 ,0.22535211 ,0.33531250 ,0.00781250 ,0.71093750 ,0.70312500 ,0.39735450 ,male
0.16734024 ,0.07284123 ,0.14173913 ,0.12217391 ,0.24000000 ,0.11782609 ,2.19212625 ,8.15240979 ,0.91376349 ,0.53947909 ,0.13478261 ,0.16734024 ,0.12005218 ,0.01624366 ,0.26229508 ,0.29867789 ,0.00781250 ,0.67968750 ,0.67187500 ,0.38477801 ,male
0.18052782 ,0.07086700 ,0.14238532 ,0.12954128 ,0.25247706 ,0.12293578 ,2.79996894 ,12.19036052 ,0.85311489 ,0.31342645 ,0.13357798 ,0.18052782 ,0.12660744 ,0.01703940 ,0.17777778 ,0.23486328 ,0.00781250 ,0.50781250 ,0.50000000 ,0.32924107 ,male
0.15303905 ,0.07403113 ,0.15806452 ,0.09273118 ,0.21436559 ,0.12163441 ,0.88570165 ,3.52398186 ,0.97321784 ,0.80755171 ,0.21677419 ,0.15303905 ,0.06740750 ,0.01626016 ,0.20512821 ,0.26156250 ,0.00781250 ,1.02343750 ,1.01562500 ,0.19134615 ,male
0.16665950 ,0.07596117 ,0.14278146 ,0.12207506 ,0.24507726 ,0.12300221 ,3.28184796 ,16.61948169 ,0.91578487 ,0.56040670 ,0.12701987 ,0.16665950 ,0.12771989 ,0.01727862 ,0.27586207 ,0.27450284 ,0.00781250 ,0.63281250 ,0.62500000 ,0.33250000 ,male
0.17565943 ,0.07165153 ,0.14419162 ,0.13105788 ,0.25652695 ,0.12546906 ,3.73648728 ,21.66666873 ,0.87674896 ,0.40390956 ,0.13441118 ,0.17565943 ,0.13272610 ,0.01656315 ,0.22857143 ,0.25781250 ,0.00781250 ,0.64843750 ,0.64062500 ,0.20343681 ,male
0.17482573 ,0.07153283 ,0.14647059 ,0.12352941 ,0.24705882 ,0.12352941 ,2.57673204 ,10.11012486 ,0.87539152 ,0.43670621 ,0.12000000 ,0.17482573 ,0.12468480 ,0.01675393 ,0.25000000 ,0.79900568 ,0.00781250 ,4.17187500 ,4.16406250 ,0.20581614 ,male
0.17406461 ,0.07312184 ,0.14018349 ,0.12770642 ,0.25284404 ,0.12513762 ,3.26303976 ,16.42405465 ,0.87561111 ,0.41483888 ,0.13321101 ,0.17406461 ,0.12453319 ,0.01634321 ,0.23188406 ,0.24494485 ,0.00781250 ,0.63281250 ,0.62500000 ,0.42250000 ,male
0.15953049 ,0.07527310 ,0.14685315 ,0.12139860 ,0.23937063 ,0.11797203 ,1.99350052 ,6.87035118 ,0.92113235 ,0.58253102 ,0.13363636 ,0.15953049 ,0.12025442 ,0.01841197 ,0.16842105 ,0.37286932 ,0.00781250 ,2.60937500 ,2.60156250 ,0.21681682 ,male
0.16764836 ,0.06721993 ,0.15723951 ,0.13602165 ,0.20952639 ,0.07350474 ,1.93606513 ,6.33462580 ,0.90398231 ,0.48288605 ,0.13450609 ,0.16764836 ,0.14274825 ,0.01661475 ,0.26229508 ,0.23958333 ,0.00781250 ,0.60156250 ,0.59375000 ,0.34758772 ,male
0.17243639 ,0.07150454 ,0.14562044 ,0.13284672 ,0.25240876 ,0.11956204 ,4.50444054 ,31.07841702 ,0.87820688 ,0.47004435 ,0.13591241 ,0.17243639 ,0.13890387 ,0.12121212 ,0.17204301 ,0.26093750 ,0.13281250 ,0.55468750 ,0.42187500 ,0.23251029 ,male
0.16298112 ,0.06595233 ,0.14277066 ,0.13429569 ,0.20698487 ,0.07268917 ,4.34483834 ,26.58960548 ,0.86983570 ,0.42978566 ,0.13755530 ,0.16298112 ,0.13137633 ,0.01677149 ,0.18181818 ,0.18789063 ,0.00781250 ,0.68750000 ,0.67968750 ,0.25542784 ,male
0.17020985 ,0.07202301 ,0.14600390 ,0.12881092 ,0.24588694 ,0.11707602 ,2.74595134 ,11.78429743 ,0.91185075 ,0.51460067 ,0.13235867 ,0.17020985 ,0.12752919 ,0.01616162 ,0.25000000 ,0.32846467 ,0.00781250 ,0.91406250 ,0.90625000 ,0.17155172 ,male
0.17140081 ,0.06842814 ,0.14532196 ,0.13120248 ,0.24611327 ,0.11491078 ,2.93043997 ,13.72613482 ,0.89356959 ,0.42425445 ,0.13706749 ,0.17140081 ,0.14118338 ,0.01584158 ,0.26229508 ,0.31365741 ,0.00781250 ,0.69531250 ,0.68750000 ,0.27322134 ,male
0.14688615 ,0.06816082 ,0.12146675 ,0.09710379 ,0.21334991 ,0.11624612 ,2.60339415 ,13.26585098 ,0.94065890 ,0.61197735 ,0.12129273 ,0.14688615 ,0.08156376 ,0.01593626 ,0.24242424 ,0.34676847 ,0.00781250 ,4.17968750 ,4.17187500 ,0.09507012 ,male
0.16676379 ,0.06448852 ,0.16012365 ,0.11684699 ,0.22958269 ,0.11273570 ,2.11720304 ,8.93917621 ,0.93784876 ,0.59212329 ,0.12139104 ,0.16676379 ,0.10168148 ,0.01564027 ,0.25396825 ,0.41953125 ,0.00781250 ,2.82031250 ,2.81250000 ,0.09957265 ,male
0.15369186 ,0.06649586 ,0.14515883 ,0.09908513 ,0.21151207 ,0.11242694 ,2.35259391 ,13.90793203 ,0.94634901 ,0.62927157 ,0.12132147 ,0.15369186 ,0.09559712 ,0.01592040 ,0.24242424 ,0.60761089 ,0.08593750 ,4.72656250 ,4.64062500 ,0.12031025 ,male
0.16801134 ,0.06887340 ,0.16791789 ,0.11598241 ,0.22806452 ,0.11208211 ,2.31962626 ,8.56421827 ,0.92652154 ,0.56762097 ,0.12131965 ,0.16801134 ,0.10171893 ,0.01600000 ,0.26229508 ,0.20415296 ,0.00781250 ,0.62500000 ,0.61718750 ,0.23195347 ,male
0.14828138 ,0.06811718 ,0.12989278 ,0.09486776 ,0.20034310 ,0.10547534 ,3.26847495 ,22.89644491 ,0.94262611 ,0.63585298 ,0.12128663 ,0.14828138 ,0.09753161 ,0.01581028 ,0.27586207 ,0.71574519 ,0.00781250 ,5.22656250 ,5.21875000 ,0.13922156 ,male
0.15859596 ,0.06621665 ,0.13330222 ,0.11108518 ,0.22445741 ,0.11337223 ,3.01916420 ,17.53642513 ,0.93241516 ,0.56791349 ,0.12121354 ,0.15859596 ,0.08045983 ,0.01606426 ,0.26666667 ,0.26412899 ,0.00781250 ,1.33593750 ,1.32812500 ,0.18209719 ,male
0.16364318 ,0.07003072 ,0.14412111 ,0.11068125 ,0.22748528 ,0.11680404 ,1.69952875 ,7.62875604 ,0.94838344 ,0.63257932 ,0.12127839 ,0.16364318 ,0.05556535 ,0.01627670 ,0.21333333 ,0.16264205 ,0.03125000 ,0.67187500 ,0.64062500 ,0.11623476 ,male
0.15865693 ,0.06756406 ,0.16106195 ,0.10445201 ,0.21919673 ,0.11474472 ,1.93966253 ,8.20383208 ,0.94218991 ,0.61357816 ,0.12122532 ,0.15865693 ,0.10139492 ,0.01577909 ,0.27586207 ,0.46779726 ,0.00781250 ,6.88281250 ,6.87500000 ,0.09093750 ,male
0.13789282 ,0.07242066 ,0.11985240 ,0.08653137 ,0.20070111 ,0.11416974 ,2.01099330 ,10.26207404 ,0.96329437 ,0.72704722 ,0.05992620 ,0.13789282 ,0.07630742 ,0.01621074 ,0.12800000 ,0.50585938 ,0.03125000 ,4.66406250 ,4.63281250 ,0.17303729 ,male
0.14271559 ,0.07416359 ,0.12785010 ,0.08891519 ,0.20627219 ,0.11735700 ,1.55226944 ,7.23018795 ,0.96668487 ,0.75318764 ,0.06019724 ,0.14271559 ,0.09887256 ,0.01873536 ,0.20779221 ,0.85329861 ,0.00781250 ,4.66406250 ,4.65625000 ,0.21298855 ,male
0.13505291 ,0.07209515 ,0.11292701 ,0.08764485 ,0.20036117 ,0.11271633 ,3.42177944 ,19.13321730 ,0.94841735 ,0.68298771 ,0.10260346 ,0.13505291 ,0.09075106 ,0.01724138 ,0.20000000 ,0.61531250 ,0.01562500 ,4.44531250 ,4.42968750 ,0.21715168 ,male
0.14146076 ,0.07286140 ,0.12487929 ,0.09072427 ,0.20119441 ,0.11047014 ,2.26411499 ,13.08229680 ,0.96487291 ,0.73429043 ,0.06012707 ,0.14146076 ,0.10139476 ,0.02179837 ,0.23529412 ,0.89628233 ,0.00781250 ,5.15625000 ,5.14843750 ,0.23913899 ,male
0.14128012 ,0.07440405 ,0.13420617 ,0.09059443 ,0.20204665 ,0.11145222 ,2.05255066 ,10.94130568 ,0.96658821 ,0.74479987 ,0.06004515 ,0.14128012 ,0.10931956 ,0.02671119 ,0.22857143 ,0.97468750 ,0.03906250 ,5.82812500 ,5.78906250 ,0.16801619 ,male
0.15385120 ,0.07219158 ,0.14459209 ,0.10243902 ,0.21947855 ,0.11703953 ,1.75889252 ,7.13243845 ,0.95471087 ,0.68461680 ,0.06005046 ,0.15385120 ,0.11225641 ,0.02472952 ,0.27586207 ,0.62870066 ,0.00781250 ,2.70312500 ,2.69531250 ,0.20676329 ,male
0.14564071 ,0.07700641 ,0.13794721 ,0.08785924 ,0.21184751 ,0.12398827 ,2.11148057 ,11.53571611 ,0.96492549 ,0.73936836 ,0.05994135 ,0.14564071 ,0.10366951 ,0.01567091 ,0.27586207 ,0.92047991 ,0.00781250 ,5.42968750 ,5.42187500 ,0.27094674 ,male
0.14485841 ,0.07659182 ,0.13557178 ,0.09060827 ,0.20761557 ,0.11700730 ,2.79750194 ,29.55364660 ,0.97190741 ,0.76363817 ,0.05995134 ,0.14485841 ,0.10324956 ,0.02127660 ,0.26666667 ,0.79166667 ,0.00781250 ,4.99218750 ,4.98437500 ,0.15967868 ,male
0.12168336 ,0.08685011 ,0.11823705 ,0.03068493 ,0.21529482 ,0.18460989 ,2.06232406 ,8.46557351 ,0.93166069 ,0.54921769 ,0.11790351 ,0.12168336 ,0.13088753 ,0.02035623 ,0.27118644 ,0.58341734 ,0.00781250 ,3.72656250 ,3.71875000 ,0.25322129 ,male
0.13564993 ,0.08641233 ,0.12672246 ,0.04998605 ,0.22884240 ,0.17885635 ,1.38827633 ,5.00901655 ,0.95251407 ,0.65981384 ,0.11481172 ,0.13564993 ,0.13431421 ,0.06083650 ,0.25000000 ,1.10875000 ,0.00781250 ,4.29687500 ,4.28906250 ,0.36926644 ,male
0.10039942 ,0.07283457 ,0.08172518 ,0.04409228 ,0.14435306 ,0.10026078 ,0.52958380 ,2.06845549 ,0.97019416 ,0.75455221 ,0.01165497 ,0.10039942 ,0.11735932 ,0.01593626 ,0.26229508 ,1.08675987 ,0.00781250 ,4.34375000 ,4.33593750 ,0.34486487 ,male
0.12508755 ,0.08011670 ,0.11419112 ,0.05730625 ,0.20141460 ,0.14410835 ,2.37738966 ,10.55072017 ,0.94849593 ,0.67063301 ,0.11187359 ,0.12508755 ,0.11474273 ,0.02439024 ,0.27118644 ,0.56003290 ,0.00781250 ,4.29687500 ,4.28906250 ,0.22667476 ,male
0.14348616 ,0.07027549 ,0.12386880 ,0.10173255 ,0.21123633 ,0.10950379 ,1.79319973 ,6.66153340 ,0.94227859 ,0.61017082 ,0.10644239 ,0.14348616 ,0.12081537 ,0.03333333 ,0.26666667 ,1.11666667 ,0.09375000 ,4.56250000 ,4.46875000 ,0.35032275 ,male
0.14319683 ,0.08544739 ,0.12535280 ,0.09622871 ,0.23265207 ,0.13642336 ,1.93612653 ,7.98910075 ,0.94072913 ,0.58517480 ,0.11309002 ,0.14319683 ,0.11026030 ,0.02725724 ,0.26229508 ,0.65277778 ,0.00781250 ,4.57031250 ,4.56250000 ,0.18739726 ,male
0.14553238 ,0.08786404 ,0.12972060 ,0.08896686 ,0.23378817 ,0.14482131 ,1.45879884 ,5.01037937 ,0.94659537 ,0.62139207 ,0.11589344 ,0.14553238 ,0.10380314 ,0.01568628 ,0.27586207 ,0.70634191 ,0.00781250 ,4.97656250 ,4.96875000 ,0.16680961 ,male
0.16206543 ,0.08443229 ,0.14314902 ,0.11231490 ,0.24942830 ,0.13711340 ,1.57856328 ,5.17944881 ,0.94340467 ,0.59512796 ,0.26897844 ,0.16206543 ,0.11702227 ,0.01652893 ,0.25000000 ,0.59914435 ,0.00781250 ,4.57812500 ,4.57031250 ,0.18921762 ,male
0.14296123 ,0.08310690 ,0.12929235 ,0.09807005 ,0.22816297 ,0.13009292 ,1.83116758 ,7.15876510 ,0.94613406 ,0.63168898 ,0.11248034 ,0.14296123 ,0.13173357 ,0.05405405 ,0.25000000 ,0.41054688 ,0.00781250 ,2.71875000 ,2.71093750 ,0.15637798 ,male
0.14115345 ,0.08092219 ,0.12430493 ,0.09715247 ,0.22224215 ,0.12508969 ,1.72429784 ,6.31351651 ,0.94995890 ,0.64665305 ,0.10939462 ,0.14115345 ,0.11729784 ,0.01886793 ,0.25806452 ,0.63961694 ,0.00781250 ,4.06250000 ,4.05468750 ,0.18723008 ,male
0.16733404 ,0.04717773 ,0.16180216 ,0.13547502 ,0.18072478 ,0.04524976 ,3.96190836 ,24.41962179 ,0.88037525 ,0.34430731 ,0.16619001 ,0.16733404 ,0.14181041 ,0.01603206 ,0.25396825 ,0.57812500 ,0.12500000 ,6.92187500 ,6.79687500 ,0.02164751 ,male
0.16785031 ,0.05259359 ,0.16326220 ,0.12847561 ,0.19036585 ,0.06189024 ,1.91922952 ,7.13132875 ,0.92051271 ,0.40386581 ,0.16689024 ,0.16785031 ,0.12154625 ,0.01595214 ,0.26229508 ,0.81317935 ,0.07031250 ,6.57031250 ,6.50000000 ,0.07418870 ,male
0.18509844 ,0.05428944 ,0.17677189 ,0.14642049 ,0.21662895 ,0.07020846 ,1.60173918 ,5.22378633 ,0.91032092 ,0.35802307 ,0.16526504 ,0.18509844 ,0.13098333 ,0.01616162 ,0.26666667 ,0.56828704 ,0.00781250 ,5.14062500 ,5.13281250 ,0.09582699 ,male
0.16776154 ,0.05888337 ,0.15993403 ,0.12560748 ,0.20087960 ,0.07527213 ,2.53150040 ,11.50948543 ,0.92364012 ,0.48511775 ,0.12683892 ,0.16776154 ,0.13208906 ,0.01853998 ,0.25396825 ,1.04851974 ,0.00781250 ,6.84375000 ,6.83593750 ,0.05837363 ,male
0.17109350 ,0.06128674 ,0.14869138 ,0.12555605 ,0.23347923 ,0.10792318 ,2.78959335 ,13.53751456 ,0.90983667 ,0.39532817 ,0.12955784 ,0.17109350 ,0.13207537 ,0.02618658 ,0.20253165 ,0.29927885 ,0.00781250 ,0.67968750 ,0.67187500 ,0.20155039 ,male
0.16708305 ,0.06442567 ,0.18170512 ,0.10756269 ,0.22074223 ,0.11317954 ,1.87094353 ,8.38155714 ,0.93485813 ,0.52092601 ,0.09225677 ,0.16708305 ,0.10262644 ,0.02083333 ,0.25000000 ,0.63783482 ,0.21875000 ,5.20312500 ,4.98437500 ,0.02194357 ,male
0.20083015 ,0.05306622 ,0.21005887 ,0.18533221 ,0.23619849 ,0.05086627 ,1.84090144 ,6.00680091 ,0.90768314 ,0.38681847 ,0.00000000 ,0.20083015 ,0.16515538 ,0.01576355 ,0.27118644 ,1.06705729 ,0.07031250 ,5.59375000 ,5.52343750 ,0.33637650 ,male
0.13709564 ,0.06663315 ,0.10287348 ,0.08506076 ,0.19714082 ,0.11208006 ,4.07821686 ,25.66321559 ,0.91221576 ,0.50788620 ,0.08426019 ,0.13709564 ,0.08116474 ,0.01666667 ,0.26229508 ,0.19531250 ,0.00781250 ,2.17187500 ,2.16406250 ,0.04606000 ,male
0.19032456 ,0.05169572 ,0.19141042 ,0.15689962 ,0.22058450 ,0.06368488 ,1.46185881 ,5.36031893 ,0.91800125 ,0.36234428 ,0.00000000 ,0.19032456 ,0.15201255 ,0.02113606 ,0.24615385 ,0.88454861 ,0.00781250 ,6.71875000 ,6.71093750 ,0.21173458 ,male
0.18713945 ,0.05649941 ,0.17610939 ,0.14304537 ,0.24763207 ,0.10458670 ,1.41115331 ,4.14930168 ,0.90224699 ,0.29859948 ,0.16619018 ,0.18713945 ,0.13819760 ,0.01668405 ,0.23188406 ,0.80133929 ,0.12500000 ,6.64062500 ,6.51562500 ,0.12700609 ,male
0.18435487 ,0.05549394 ,0.18343066 ,0.15090024 ,0.22635037 ,0.07545012 ,1.58801386 ,8.99004820 ,0.93283479 ,0.42775525 ,0.00000000 ,0.18435487 ,0.13371745 ,0.01851852 ,0.26666667 ,1.79562500 ,0.00781250 ,7.00000000 ,6.99218750 ,0.31610396 ,male
0.20004181 ,0.05581513 ,0.21079214 ,0.16659917 ,0.24347826 ,0.07687910 ,2.92678071 ,15.25378680 ,0.91463401 ,0.41291947 ,0.24064324 ,0.20004181 ,0.15910693 ,0.02010050 ,0.26666667 ,0.62265625 ,0.15625000 ,6.39062500 ,6.23437500 ,0.11974380 ,male
0.17568187 ,0.05552409 ,0.17315103 ,0.14826600 ,0.21509012 ,0.06682411 ,1.75985294 ,6.47136397 ,0.93406067 ,0.51256225 ,0.00000000 ,0.17568187 ,0.14938670 ,0.01990050 ,0.25396825 ,0.80711207 ,0.00781250 ,6.56250000 ,6.55468750 ,0.19049038 ,male
0.18485090 ,0.06244673 ,0.18980940 ,0.13377383 ,0.23855146 ,0.10477764 ,1.66106085 ,10.89410786 ,0.93432337 ,0.46782648 ,0.00000000 ,0.18485090 ,0.13937826 ,0.02507837 ,0.27586207 ,1.75250000 ,0.07812500 ,6.72656250 ,6.64843750 ,0.34976754 ,male
0.18263014 ,0.04897455 ,0.17661801 ,0.15260341 ,0.20948905 ,0.05688565 ,1.62857887 ,5.58683714 ,0.90721497 ,0.30281431 ,0.18547445 ,0.18263014 ,0.14735098 ,0.01990050 ,0.26229508 ,1.03686523 ,0.14062500 ,6.82031250 ,6.67968750 ,0.20584795 ,male
0.19646326 ,0.05760638 ,0.20440707 ,0.15613120 ,0.24844407 ,0.09231287 ,1.19704062 ,4.10999368 ,0.92252431 ,0.39456129 ,0.00000000 ,0.19646326 ,0.16803788 ,0.01814059 ,0.27586207 ,1.09512868 ,0.14843750 ,6.59375000 ,6.44531250 ,0.25901515 ,male
0.19131092 ,0.05712281 ,0.20877480 ,0.13967328 ,0.23523921 ,0.09556593 ,6.99504548 ,112.64798840 ,0.90762215 ,0.31906906 ,0.09001167 ,0.19131092 ,0.08059508 ,0.01571709 ,0.22535211 ,0.16057181 ,0.09375000 ,0.42968750 ,0.33593750 ,0.14206269 ,male
0.19600602 ,0.05393006 ,0.20338390 ,0.15404901 ,0.23932322 ,0.08527421 ,4.03826347 ,50.59146239 ,0.92714540 ,0.29627712 ,0.09001167 ,0.19600602 ,0.08101750 ,0.01581028 ,0.19512195 ,0.14727394 ,0.09375000 ,0.37500000 ,0.28125000 ,0.17632850 ,male
